experiment,hash_n_levels,hash_n_max,niqe_mean,niqe_std,niqe_n_slices,edge_slope_mean,edge_slope_p95,edge_slope_top10_mean,resolution_gain_vs_knn,resolution_gain_pct_vs_knn,snr_bg_db,snr_target_db,cnr,bg_mean,bg_std,target_mean,target_std,raw_path
exp1_A_L16_Nmax512,16,512,7.57803129566396,7.3361220739104445,8,61.520877838134766,134.086669921875,157.85531616210938,0.8650267412946764,-13.49732587053236,20.719680759161623,21.819042854801665,2.9406862029204346,39.39799118041992,5.673261642456055,61.63350296020508,4.998787879943848,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp1_A_L16_Nmax512/20-04-2026/exp1_A_L16_Nmax512_latest_1/volume.raw
exp1_B_L16_Nmax256,16,256,7.3407746848783155,6.907821571857567,8,60.55744552612305,134.74188232421875,158.8884735107422,0.8706883101050337,-12.931168989496634,20.638331949187393,22.025202795998638,2.9855614507570234,40.674808502197266,5.947027206420898,64.00538635253906,5.069397926330566,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp1_B_L16_Nmax256/20-04-2026/exp1_B_L16_Nmax256_latest_1/volume.raw
exp1_C_L16_Nmax128,16,128,8.843177117123442,8.124115186438939,8,49.16134262084961,117.94914245605469,141.99920654296875,0.7781373088262076,-22.186269117379243,21.103928150127167,22.173390377571604,3.0944693509269885,39.79613494873047,5.508339881896973,62.54853439331055,4.870209217071533,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp1_C_L16_Nmax128/20-04-2026/exp1_C_L16_Nmax128_latest_1/volume.raw
exp1_D_L16_Nmax64,16,64,9.69601050691788,7.45199555460763,8,31.595535278320312,67.17142486572266,73.43358612060547,0.4024065660117233,-59.75934339882767,21.992637267820484,24.12645986208552,3.5462616725992326,42.059295654296875,5.20770788192749,65.50560760498047,4.073385238647461,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp1_D_L16_Nmax64/20-04-2026/exp1_D_L16_Nmax64_latest_1/volume.raw
exp1_E_L16_Nmax32,16,32,10.5350522766537,6.67405479700803,8,16.837947845458984,31.032241821289062,32.251949310302734,0.17673651601091225,-82.32634839890878,22.636166371255705,25.99674137704996,3.9844579472678627,40.756065368652344,4.668825626373291,63.24351119995117,3.1708734035491943,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp1_E_L16_Nmax32/20-04-2026/exp1_E_L16_Nmax32_latest_1/volume.raw
exp2_F_L12_Nmax512,12,512,7.9461476641337105,8.234948622955782,8,58.595577239990234,129.80038452148438,154.72218322753906,0.8478575775418946,-15.214242245810539,20.96309496483329,21.8021980326329,3.0161216575448977,38.77677536010742,5.462418556213379,61.02948760986328,4.959407806396484,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp2_F_L12_Nmax512/20-04-2026/exp2_F_L12_Nmax512_latest_1/volume.raw
exp2_G_L8_Nmax512,8,512,7.633817230467227,8.069228051911448,8,56.099609375,119.24901580810547,138.40542602539062,0.7584438558236086,-24.155614417639136,20.937918423888608,22.224551913028307,3.0346534079559992,39.740169525146484,5.571187973022461,62.06456756591797,4.804145336151123,/home/zchen/Code/NeUF/exports/hash_grid_nmax_full_grid/exp2_G_L8_Nmax512/20-04-2026/exp2_G_L8_Nmax512_latest_1/volume.raw
